"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2022","1029.60","982.70","1035.10","979.50","16.45K","4.57%"
"12/22/2022","984.60","1002.60","1009.60","971.40","20.62K","-1.74%"
"12/21/2022","1002.00","1013.30","1017.50","996.60","15.63K","-1.09%"
"12/20/2022","1013.00","986.00","1019.80","979.00","26.55K","2.56%"
"12/19/2022","987.70","999.30","1013.40","982.00","19.45K","-1.41%"
"12/18/2022","1001.85","999.30","1003.35","998.10","","0.18%"
"12/16/2022","1000.00","1015.20","1021.20","996.80","17.57K","-1.30%"
"12/15/2022","1013.20","1039.40","1039.40","1010.50","18.87K","-2.45%"
"12/14/2022","1038.70","1042.60","1047.80","1028.10","17.28K","-0.02%"
"12/13/2022","1038.90","1009.00","1056.00","1006.00","23.15K","3.07%"
"12/12/2022","1008.00","1033.00","1035.80","1002.80","20.37K","-1.91%"
"12/11/2022","1027.60","1036.20","1041.70","1027.25","","-0.83%"
"12/09/2022","1036.20","1014.30","1040.70","1001.60","21.30K","2.13%"
"12/08/2022","1014.60","1012.80","1021.60","1005.60","13.25K","0.31%"
"12/07/2022","1011.50","996.10","1024.90","985.50","18.89K","1.62%"
"12/06/2022","995.40","1006.60","1013.30","991.50","16.23K","-1.20%"
"12/05/2022","1007.50","1025.50","1038.20","1002.90","17.29K","-2.32%"
"12/04/2022","1031.40","1024.45","1031.60","1024.10","","0.47%"
"12/02/2022","1026.60","1055.60","1058.60","1010.10","26.41K","-2.68%"
"12/01/2022","1054.90","1045.90","1066.80","1037.80","25.93K","1.50%"
"11/30/2022","1039.30","1012.40","1051.70","1010.10","28.62K","3.04%"
"11/29/2022","1008.60","998.90","1018.50","995.40","18.19K","-0.37%"
"11/28/2022","1012.30","984.35","1013.55","978.80","","2.84%"
"11/27/2022","984.30","986.05","986.50","982.30","","-1.65%"
"11/25/2022","1000.80","997.00","1000.85","982.15","","0.39%"
"11/24/2022","996.90","1007.75","1009.30","993.15","","-1.28%"
"11/23/2022","1009.80","1015.00","1015.00","1015.00","0.00K","0.11%"
"11/22/2022","1008.70","989.95","1007.60","989.35","","1.89%"
"11/21/2022","989.95","987.85","995.20","970.60","","0.22%"
"11/20/2022","987.80","986.50","988.00","985.70","","0.36%"
"11/18/2022","984.30","992.00","997.80","980.80","","-0.73%"
"11/17/2022","991.50","1016.00","1019.30","985.00","19.54K","-2.43%"
"11/16/2022","1016.20","1025.00","1034.40","1011.50","","-0.61%"
"11/15/2022","1022.40","1029.60","1051.50","1017.00","","-1.03%"
"11/14/2022","1033.00","1049.20","1049.20","1013.60","","-1.05%"
"11/13/2022","1043.95","1045.75","1045.90","1038.90","","-0.08%"
"11/11/2022","1044.75","1046.75","1074.15","1035.30","","-0.21%"
"11/10/2022","1047.00","997.90","1058.20","995.20","","4.90%"
"11/09/2022","998.10","1011.90","1024.60","991.55","","-1.37%"
"11/08/2022","1011.95","990.05","1015.80","979.20","","2.28%"
"11/07/2022","989.40","964.70","993.40","953.30","","3.33%"
"11/06/2022","957.50","968.35","968.35","956.50","","-0.31%"
"11/04/2022","960.50","922.00","970.20","918.90","","3.94%"
"11/03/2022","924.10","935.00","945.80","912.60","","-2.82%"
"11/02/2022","950.90","952.70","964.80","939.00","","0.04%"
"11/01/2022","950.50","931.40","963.00","930.80","","2.19%"
"10/31/2022","930.10","947.10","952.60","928.30","","-2.21%"
"10/30/2022","951.15","947.85","951.95","945.40","","0.50%"
"10/28/2022","946.40","965.00","969.70","943.00","","-2.17%"
"10/27/2022","967.40","959.40","974.10","948.30","","0.51%"
"10/26/2022","962.50","920.30","965.10","915.80","","4.65%"
"10/25/2022","919.70","930.10","933.40","907.60","15.74K","-0.74%"
"10/24/2022","926.60","935.10","949.80","922.90","","-1.58%"
"10/23/2022","941.45","936.30","949.70","935.10","","0.81%"
"10/21/2022","933.90","915.20","937.50","891.40","","2.05%"
"10/20/2022","915.10","881.50","918.90","875.00","21.96K","3.86%"
"10/19/2022","881.10","907.50","911.60","880.10","","-2.89%"
"10/18/2022","907.30","915.00","925.10","902.40","15.57K","-0.69%"
"10/17/2022","913.60","896.90","922.50","896.50","","1.10%"
"10/16/2022","903.65","898.25","904.45","896.85","","0.98%"
"10/14/2022","894.90","900.00","912.40","891.10","","-0.17%"
"10/13/2022","896.40","882.90","903.10","861.90","","1.75%"
"10/12/2022","881.00","889.90","897.80","878.30","16.11K","-2.01%"
"10/11/2022","899.10","900.60","906.20","884.10","","0.37%"
"10/10/2022","895.80","914.30","916.00","893.20","","-2.07%"
"10/09/2022","914.70","913.55","916.25","911.40","","-0.35%"
"10/07/2022","917.90","924.00","939.80","912.50","","-0.42%"
"10/06/2022","921.80","919.50","932.20","916.90","","0.79%"
"10/05/2022","914.60","940.00","940.00","903.10","","-2.05%"
"10/04/2022","933.70","900.50","941.20","899.60","","3.73%"
"10/03/2022","900.10","856.80","903.80","856.20","20.63K","4.54%"
"10/02/2022","861.00","862.00","862.95","859.45","","0.01%"
"09/30/2022","860.90","865.90","876.10","855.00","","-0.07%"
"09/29/2022","861.50","858.00","868.50","843.60","0.17K","-0.45%"
"09/28/2022","865.40","841.55","864.85","827.20","","3.06%"
"09/27/2022","839.70","844.10","858.00","838.00","","-0.62%"
"09/26/2022","844.90","850.70","864.20","841.80","13.83K","-1.52%"
"09/25/2022","857.95","851.10","858.10","845.15","","0.17%"
"09/23/2022","856.50","898.20","902.40","850.60","14.28K","-4.73%"
"09/22/2022","899.00","907.80","912.00","891.00","9.20K","-1.39%"
"09/21/2022","911.70","916.20","934.30","904.50","9.17K","-0.31%"
"09/20/2022","914.50","919.10","927.30","910.90","6.88K","0.21%"
"09/19/2022","912.60","903.10","919.90","891.20","4.26K","0.48%"
"09/18/2022","908.25","905.95","909.40","903.70","","1.36%"
"09/16/2022","896.10","898.30","901.90","879.90","4.90K","-0.68%"
"09/15/2022","902.20","901.90","916.80","895.50","4.02K","-0.25%"
"09/14/2022","904.50","873.80","910.00","873.70","5.52K","2.39%"
"09/13/2022","883.40","903.50","914.00","873.40","5.24K","-2.30%"
"09/12/2022","904.20","875.90","905.30","867.30","3.85K","3.48%"
"09/11/2022","873.75","874.50","877.10","872.45","","-0.43%"
"09/09/2022","877.50","869.50","882.40","865.60","3.46K","1.27%"
"09/08/2022","866.50","855.30","874.30","848.30","5.59K","2.11%"
"09/07/2022","848.60","840.00","856.00","830.00","3.51K","1.42%"
"09/06/2022","836.70","818.00","848.50","818.00","3.82K","0.58%"
"09/05/2022","831.85","815.75","834.15","815.40","","2.01%"
"09/04/2022","815.45","819.20","822.05","813.50","","-0.83%"
"09/02/2022","822.30","812.20","831.10","810.00","2.79K","1.51%"
"09/01/2022","810.10","828.20","831.20","801.20","3.07K","-2.59%"
"08/31/2022","831.60","836.90","846.00","827.00","1.90K","-0.60%"
"08/30/2022","836.60","857.80","857.80","834.80","2.76K","-2.24%"
"08/29/2022","855.80","847.70","861.70","835.70","","0.95%"
"08/28/2022","847.75","853.50","853.65","840.50","","-1.39%"
"08/26/2022","859.70","878.10","880.70","855.80","1.55K","-2.10%"
"08/25/2022","878.10","872.10","882.30","869.80","1.44K","0.86%"
"08/24/2022","870.60","874.80","880.60","862.90","1.51K","-0.81%"
"08/23/2022","877.70","868.90","883.70","859.00","0.80K","0.95%"
"08/22/2022","869.40","890.00","893.20","859.90","0.83K","-1.83%"
"08/21/2022","885.65","885.60","889.65","885.10","","-0.42%"
"08/19/2022","889.40","906.50","906.50","880.00","0.73K","-1.82%"
"08/18/2022","905.90","921.70","928.20","905.70","0.20K","-1.53%"
"08/17/2022","920.00","934.30","934.30","916.00","0.25K","-1.29%"
"08/16/2022","932.00","929.50","942.10","922.00","0.44K","-0.33%"
"08/15/2022","935.10","965.20","965.20","922.40","0.21K","-2.65%"
"08/14/2022","960.60","964.80","965.25","960.50","","-0.03%"
"08/12/2022","960.90","955.00","963.70","946.80","0.16K","0.02%"
"08/11/2022","960.70","944.40","975.50","944.40","0.57K","1.38%"
"08/10/2022","947.60","934.30","950.50","926.60","0.32K","1.43%"
"08/09/2022","934.20","943.90","943.90","931.60","0.24K","-0.61%"
"08/08/2022","939.90","930.20","950.00","920.00","0.24K","1.41%"
"08/07/2022","926.80","929.35","930.00","926.80","","0.08%"
"08/05/2022","926.10","927.00","941.70","920.80","0.38K","0.01%"
"08/04/2022","926.00","892.00","928.30","892.00","0.30K","4.03%"
"08/03/2022","890.10","886.00","897.00","883.60","0.28K","-1.80%"
"08/02/2022","906.40","905.90","913.50","892.50","0.28K","0.32%"
"08/01/2022","903.50","888.80","912.00","888.50","0.16K","2.01%"
"07/31/2022","885.70","890.00","890.80","884.00","","-0.66%"
"07/29/2022","891.60","882.40","900.40","880.00","0.28K","1.48%"
"07/28/2022","878.60","883.50","890.70","873.00","0.23K","0.16%"
"07/27/2022","877.20","863.40","883.90","860.30","11.92K","1.48%"
"07/26/2022","864.40","869.60","881.40","858.50","11.30K","-0.56%"
"07/25/2022","869.30","865.00","874.80","853.60","10.99K","1.14%"
"07/24/2022","859.50","862.80","863.90","858.90","","-0.89%"
"07/22/2022","867.20","862.10","878.10","857.50","12.20K","0.99%"
"07/21/2022","858.70","841.80","864.40","831.10","14.43K","1.44%"
"07/20/2022","846.50","862.40","871.00","841.00","11.66K","-1.44%"
"07/19/2022","858.90","851.50","872.30","842.60","12.05K","0.34%"
"07/18/2022","856.00","833.80","863.70","830.70","14.19K","2.47%"
"07/17/2022","835.40","836.00","836.20","832.85","","0.54%"
"07/15/2022","830.90","823.80","834.40","814.10","11.31K","1.66%"
"07/14/2022","817.30","835.20","836.10","806.70","16.61K","-2.45%"
"07/13/2022","837.80","825.80","842.10","815.80","16.68K","1.17%"
"07/12/2022","828.10","859.00","859.00","825.80","17.20K","-3.79%"
"07/11/2022","860.70","884.60","886.00","856.90","14.25K","-2.53%"
"07/10/2022","883.05","880.30","885.25","880.20","","0.03%"
"07/08/2022","882.80","863.80","891.60","854.60","15.94K","1.96%"
"07/07/2022","865.80","842.80","869.10","836.70","15.78K","2.96%"
"07/06/2022","840.90","853.10","856.40","832.00","17.80K","-1.15%"
"07/05/2022","850.70","878.30","878.70","837.60","27.83K","-2.79%"
"07/04/2022","875.10","872.25","878.30","866.90","","0.36%"
"07/03/2022","872.00","877.15","878.60","871.90","","0.08%"
"07/01/2022","871.30","884.60","890.20","850.10","23.96K","-2.68%"
"06/30/2022","895.30","911.40","918.10","879.20","21.40K","-1.60%"
"06/29/2022","909.90","906.80","933.00","905.20","15.96K","0.18%"
"06/28/2022","908.30","899.80","923.30","898.05","","0.89%"
"06/27/2022","900.30","904.70","911.90","888.10","16.54K","-0.50%"
"06/26/2022","904.80","907.40","908.55","904.05","","0.17%"
"06/24/2022","903.30","902.50","917.40","900.20","14.05K","-0.04%"
"06/23/2022","903.70","927.00","928.70","902.60","12.40K","-2.42%"
"06/22/2022","926.10","940.10","940.10","921.40","9.76K","-1.42%"
"06/21/2022","939.40","931.40","954.70","925.00","7.80K","0.98%"
"06/20/2022","930.30","932.70","943.85","924.55","","-0.26%"
"06/19/2022","932.75","931.50","933.50","930.95","","0.21%"
"06/17/2022","930.80","949.70","951.70","928.70","3.16K","-2.15%"
"06/16/2022","951.30","937.50","952.40","920.60","5.84K","2.79%"
"06/15/2022","925.50","914.90","949.60","913.50","5.80K","1.35%"
"06/14/2022","913.20","929.80","941.70","910.80","6.29K","-2.37%"
"06/13/2022","935.40","974.30","975.60","927.00","5.28K","-3.57%"
"06/12/2022","970.00","973.55","973.55","968.40","","-0.30%"
"06/10/2022","972.90","972.50","977.80","955.00","4.50K","-0.51%"
"06/09/2022","977.90","1010.20","1011.80","971.50","4.49K","-3.52%"
"06/08/2022","1013.60","1016.10","1018.00","1001.20","4.44K","-0.13%"
"06/07/2022","1014.90","1023.10","1023.70","1003.30","5.25K","-1.61%"
"06/06/2022","1031.50","1020.70","1039.00","1020.10","3.75K","1.24%"
"06/05/2022","1018.90","1018.20","1021.35","1018.10","","0.11%"
"06/03/2022","1017.80","1023.90","1036.90","1013.30","2.88K","-1.11%"
"06/02/2022","1029.20","995.00","1029.70","989.50","1.82K","3.16%"
"06/01/2022","997.70","963.10","1007.00","959.50","2.82K","2.93%"
"05/31/2022","969.30","948.40","971.50","945.00","1.12K","2.23%"
"05/30/2022","948.20","943.35","953.40","940.60","","0.33%"
"05/27/2022","945.10","940.20","948.40","938.30","1.59K","0.75%"
"05/26/2022","938.10","936.95","939.60","924.10","","0.78%"
"05/25/2022","930.80","945.60","945.80","923.90","1.59K","-1.44%"
"05/24/2022","944.40","947.20","956.10","938.20","1.38K","-0.71%"
"05/23/2022","951.20","949.70","971.80","947.50","1.45K","-0.12%"
"05/22/2022","952.30","952.80","952.85","948.90","","1.21%"
"05/20/2022","940.90","954.40","960.70","939.10","0.31K","-1.32%"
"05/19/2022","953.50","923.80","957.60","910.00","0.49K","3.08%"
"05/18/2022","925.00","940.60","957.00","920.00","0.27K","-2.01%"
"05/17/2022","944.00","931.20","948.90","927.00","0.35K","1.84%"
"05/16/2022","926.90","934.40","941.00","917.80","0.44K","-0.90%"
"05/15/2022","935.30","932.75","935.80","931.40","","0.41%"
"05/13/2022","931.50","932.70","950.80","923.80","0.39K","-0.01%"
"05/12/2022","931.60","983.00","984.00","930.00","0.48K","-5.77%"
"05/11/2022","988.60","950.00","990.00","950.00","0.64K","4.48%"
"05/10/2022","946.20","933.80","968.20","931.00","0.79K","0.92%"
"05/09/2022","937.60","942.00","943.20","914.00","0.67K","-0.64%"
"05/08/2022","943.65","948.20","948.50","940.00","","-1.31%"
"05/06/2022","956.20","961.70","961.70","942.00","0.46K","-1.77%"
"05/05/2022","973.40","984.40","992.00","960.70","0.34K","-0.63%"
"05/04/2022","979.60","959.30","987.10","959.20","1.25K","2.13%"
"05/03/2022","959.20","933.10","966.00","932.90","0.43K","2.72%"
"05/02/2022","933.80","937.30","938.40","911.00","0.23K","0.36%"
"05/01/2022","930.45","929.10","937.00","926.35","","-1.07%"
"04/29/2022","940.50","910.50","942.90","910.30","0.30K","2.98%"
"04/28/2022","913.30","911.70","928.00","903.20","0.43K","0.32%"
"04/27/2022","910.40","913.90","930.00","895.40","19.58K","-0.19%"
"04/26/2022","912.10","911.70","921.50","901.70","17.34K","0.78%"
"04/25/2022","905.00","924.00","927.90","901.40","25.77K","-2.22%"
"04/24/2022","925.50","925.80","927.70","923.35","","-0.20%"
"04/22/2022","927.40","967.70","969.00","923.00","29.59K","-4.17%"
"04/21/2022","967.80","987.60","991.30","965.00","12.70K","-1.95%"
"04/20/2022","987.00","991.30","993.20","973.00","11.64K","-0.17%"
"04/19/2022","988.70","1017.00","1026.40","982.30","17.80K","-3.12%"
"04/18/2022","1020.50","995.00","1024.90","991.20","12.77K","2.03%"
"04/17/2022","1000.15","992.85","1002.00","991.60","","0.91%"
"04/15/2022","991.10","991.10","991.10","991.10","","-0.31%"
"04/14/2022","994.20","989.00","996.00","972.20","11.02K","0.46%"
"04/13/2022","989.60","968.30","991.00","966.40","12.28K","1.77%"
"04/12/2022","972.40","980.40","987.50","960.50","13.92K","-0.55%"
"04/11/2022","977.80","976.30","997.00","973.70","11.96K","-0.05%"
"04/10/2022","978.30","976.95","982.80","976.95","","0.28%"
"04/08/2022","975.60","962.80","988.70","959.00","14.60K","1.84%"
"04/07/2022","958.00","954.10","965.00","941.40","14.66K","0.51%"
"04/06/2022","953.10","970.10","975.30","950.00","19.69K","-2.06%"
"04/05/2022","973.10","990.70","992.40","968.00","14.48K","-1.81%"
"04/04/2022","991.00","989.30","1002.00","983.60","11.33K","0.20%"
"04/03/2022","989.00","991.85","992.30","987.55","","0.04%"
"04/01/2022","988.60","987.10","1004.20","985.70","13.26K","-0.72%"
"03/31/2022","995.80","998.60","1000.60","982.10","12.68K","-0.54%"
"03/30/2022","1001.20","986.20","1009.00","984.40","15.46K","2.48%"
"03/29/2022","977.00","986.85","989.60","954.05","","-1.69%"
"03/28/2022","993.80","1010.30","1011.20","984.70","13.16K","-1.06%"
"03/27/2022","1004.40","1007.30","1008.65","1003.00","","-0.62%"
"03/25/2022","1010.70","1032.00","1039.90","1004.90","9.75K","-2.23%"
"03/24/2022","1033.70","1028.80","1041.90","1017.00","8.38K","1.02%"
"03/23/2022","1023.30","1029.00","1035.30","1017.60","6.02K","-0.32%"
"03/22/2022","1026.60","1042.50","1049.30","1018.10","4.78K","-1.79%"
"03/21/2022","1045.30","1031.50","1049.90","1026.00","6.12K","1.46%"
"03/20/2022","1030.30","1029.10","1033.55","1028.25","","-0.56%"
"03/18/2022","1036.10","1027.00","1043.00","1024.80","4.08K","0.51%"
"03/17/2022","1030.80","1019.10","1034.90","1014.20","2.83K","2.28%"
"03/16/2022","1007.80","986.00","1023.10","984.50","3.62K","0.52%"
"03/15/2022","1002.60","1042.00","1042.00","983.40","5.80K","-4.59%"
"03/14/2022","1050.80","1093.60","1094.20","1035.90","3.41K","-2.44%"
"03/13/2022","1077.10","1090.70","1100.00","1075.40","","-0.83%"
"03/11/2022","1086.10","1080.40","1096.60","1063.90","3.19K","-0.61%"
"03/10/2022","1092.80","1101.20","1111.90","1077.60","3.20K","-1.18%"
"03/09/2022","1105.80","1170.60","1187.20","1086.00","6.75K","-3.96%"
"03/08/2022","1151.40","1125.90","1190.00","1120.00","5.28K","3.17%"
"03/07/2022","1116.00","1126.00","1161.40","1105.20","3.86K","-3.10%"
"03/06/2022","1151.70","1124.40","1155.55","1124.40","","3.14%"
"03/04/2022","1116.60","1081.10","1128.00","1072.00","2.89K","3.30%"
"03/03/2022","1080.90","1075.00","1095.10","1070.20","2.61K","1.19%"
"03/02/2022","1068.20","1058.00","1077.50","1053.50","1.84K","1.45%"
"03/01/2022","1052.90","1045.90","1067.20","1042.20","2.20K","1.26%"
"02/28/2022","1039.80","1075.10","1078.80","1035.90","1.25K","-2.14%"
"02/27/2022","1062.55","1058.40","1078.10","1058.40","","1.09%"
"02/25/2022","1051.10","1060.00","1067.60","1049.40","2.02K","-1.06%"
"02/24/2022","1062.40","1096.95","1131.60","1040.30","","-2.75%"
"02/23/2022","1092.40","1081.40","1097.50","1079.40","1.51K","0.57%"
"02/22/2022","1086.20","1071.00","1095.00","1071.00","1.52K","-0.03%"
"02/21/2022","1086.55","1079.45","1089.40","1070.10","","0.68%"
"02/20/2022","1079.20","1071.50","1080.60","1070.60","","0.17%"
"02/18/2022","1077.40","1090.50","1098.20","1067.40","1.96K","-1.33%"
"02/17/2022","1091.90","1062.70","1095.20","1057.30","0.70K","2.73%"
"02/16/2022","1062.90","1021.80","1065.40","1021.40","0.45K","4.19%"
"02/15/2022","1020.20","1030.60","1035.00","1006.90","0.42K","-0.83%"
"02/14/2022","1028.70","1039.90","1043.80","1022.00","0.59K","-0.92%"
"02/13/2022","1038.25","1030.35","1039.15","1025.55","","1.83%"
"02/11/2022","1019.60","1026.20","1036.20","1009.00","0.85K","-2.24%"
"02/10/2022","1043.00","1035.50","1058.60","1017.60","0.57K","0.47%"
"02/09/2022","1038.10","1033.10","1042.30","1024.00","0.86K","0.12%"
"02/08/2022","1036.90","1021.50","1036.80","1005.10","0.32K","1.59%"
"02/07/2022","1020.70","1028.30","1029.70","1011.00","1.75K","-0.65%"
"02/06/2022","1027.40","1023.70","1028.80","1023.70","","0.27%"
"02/04/2022","1024.60","1036.00","1037.40","1013.90","3.13K","-0.55%"
"02/03/2022","1030.30","1037.30","1041.20","1020.50","2.33K","-1.24%"
"02/02/2022","1043.20","1030.00","1046.60","1026.70","0.17K","2.01%"
"02/01/2022","1022.60","1019.70","1045.90","1019.70","0.24K","0.26%"
"01/31/2022","1019.90","1011.90","1023.00","1010.30","0.20K","1.07%"
"01/30/2022","1009.10","1012.55","1012.55","1007.35","","0.27%"
"01/28/2022","1006.40","1024.50","1030.00","992.00","0.36K","-1.51%"
"01/27/2022","1021.80","1034.70","1039.30","1012.40","16.43K","-2.30%"
"01/26/2022","1045.90","1027.60","1064.60","1024.40","25.40K","1.99%"
"01/25/2022","1025.50","1028.90","1034.20","1006.90","13.82K","0.51%"
"01/24/2022","1020.30","1034.00","1041.80","1003.20","16.95K","-1.43%"
"01/23/2022","1035.10","1030.80","1035.10","1027.60","","0.00%"
"01/21/2022","1035.10","1043.20","1054.00","1028.40","17.76K","-1.49%"
"01/20/2022","1050.80","1025.70","1057.50","1017.50","24.47K","2.18%"
"01/19/2022","1028.40","979.00","1035.50","970.10","29.81K","4.99%"
"01/18/2022","979.50","966.20","987.00","959.60","19.79K","0.89%"
"01/17/2022","970.90","966.90","974.40","962.30","","0.42%"
"01/16/2022","966.85","967.10","967.45","965.35","","0.23%"
"01/14/2022","964.60","968.40","981.00","963.50","10.66K","-0.78%"
"01/13/2022","972.20","976.80","977.70","961.30","10.73K","-0.81%"
"01/12/2022","980.10","969.40","983.00","961.50","13.20K","0.71%"
"01/11/2022","973.20","936.30","975.00","935.10","20.75K","4.24%"
"01/10/2022","933.60","958.10","961.40","919.50","17.86K","-2.14%"
"01/09/2022","954.05","958.15","958.55","953.10","","-0.26%"
"01/07/2022","956.50","966.00","972.20","947.70","12.72K","-0.44%"
"01/06/2022","960.70","983.80","987.70","952.00","18.49K","-4.11%"
"01/05/2022","1001.90","972.60","1004.80","966.20","18.94K","3.16%"
"01/04/2022","971.20","955.40","983.60","946.10","15.04K","1.80%"
"01/03/2022","954.00","968.70","985.00","928.70","18.49K","-1.74%"
"01/02/2022","970.85","964.30","978.80","964.30","","0.48%"
"12/31/2021","966.20","963.30","968.90","948.80","8.29K","0.17%"
"12/30/2021","964.60","970.20","973.40","958.00","9.89K","-0.53%"
"12/29/2021","969.70","978.50","978.50","960.25","","-1.03%"
