Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,74.139999,74.260002,72.040001,72.559998,61.633995,1629492
2020-02-11,72.500000,74.000000,70.980003,73.879997,62.755241,2389728
2020-02-12,74.000000,74.760002,73.320000,74.440002,63.230919,1127969
2020-02-13,74.400002,74.580002,72.699997,74.580002,63.349831,619338
2020-02-14,75.000000,76.660004,75.000000,76.000000,64.556007,1391238
2020-02-17,76.779999,77.099998,75.519997,75.800003,64.386131,368560
2020-02-18,75.000000,76.459999,74.800003,75.500000,64.131302,1224861
2020-02-19,75.500000,75.779999,73.260002,73.440002,62.381496,1615806
2020-02-20,73.500000,73.720001,72.500000,72.879997,61.905819,1301767
2020-02-21,72.540001,73.720001,72.440002,73.300003,62.262573,856599
2020-02-24,72.099998,72.320000,69.379997,69.800003,59.289600,1026570
2020-02-25,69.800003,70.279999,68.300003,68.320000,58.032459,1424565
2020-02-26,68.279999,68.639999,65.900002,66.599998,56.571449,1518215
2020-02-27,66.160004,66.620003,59.700001,60.900002,51.729752,1381356
2020-02-28,59.500000,59.759998,55.040001,58.639999,49.810059,3039912
2020-03-02,61.500000,62.200001,59.560001,60.560001,51.440948,2037669
2020-03-03,61.799999,62.799999,60.619999,62.259998,52.884964,1804094
2020-03-04,62.000000,62.000000,59.040001,59.040001,50.149830,1696461
2020-03-05,60.400002,60.599998,56.560001,56.860001,48.298092,1742634
2020-03-06,56.259998,56.500000,53.520000,54.340000,46.157547,1785479
2020-03-09,50.000000,56.119999,49.279999,54.240002,46.072609,3127163
2020-03-10,55.860001,56.279999,51.060001,51.419998,43.677235,2203096
2020-03-11,51.720001,52.480000,46.099998,46.470001,39.472603,2119052
2020-03-12,44.459999,45.939999,42.000000,43.439999,36.898853,2372104
2020-03-13,44.400002,51.380001,43.419998,45.680000,38.801563,2757275
2020-03-16,45.689999,49.299999,42.669998,48.000000,40.772217,2934275
2020-03-17,49.639999,51.500000,47.500000,49.459999,42.012371,2882210
2020-03-18,50.000000,51.400002,47.000000,47.869999,40.661793,2099720
2020-03-19,48.500000,50.700001,47.720001,50.500000,42.895771,1858193
2020-03-20,52.700001,53.680000,51.680000,52.580002,44.662567,3527840
2020-03-23,52.000000,53.380001,49.110001,49.720001,42.233223,1379722
2020-03-24,52.500000,52.599998,49.660000,50.099998,42.556000,1545683
2020-03-25,52.419998,52.459999,49.680000,51.200001,43.490368,1342522
